date,date_pretty,day_description,evening_name,rcl_track_1,rcl_track_2,morning_prayers_together,evening_prayers_together
2024/12/01,"Sunday, December 1, 2024",1st Sunday of Advent,,Psalm 25:1-9; Jeremiah 33:14-16; 1 Thessalonians 3:9-13; Luke 21:25-36,,Psalm 44; Isaiah 51:4-11; Romans 13:11-14,Psalm 9*; Joel 3:9-21; Revelation 14:13-15:4
2024/12/02,"Monday, December 2, 2024",Week of 1st Sunday of Advent,,,,Psalm 50; Isaiah 42:18–end; Revelation 19,Psalm 71; Isaiah 25:1–9; Matthew 12:1–21
2024/12/03,"Tuesday, December 3, 2024",Week of 1st Sunday of Advent,,,,Psalm 80; Isaiah 43:1–13; Revelation 20,Psalm 74; Isaiah 26:1–13; Matthew 12:22–37
2024/12/04,"Wednesday, December 4, 2024",Week of 1st Sunday of Advent,,,,Psalm 7; Isaiah 43:14–end; Revelation 21:1–8,Psalm 77; Isaiah 28:1–13; Matthew 12:38–end
2024/12/05,"Thursday, December 5, 2024",Week of 1st Sunday of Advent,,,,Psalm 42; Isaiah 44:1–8; Revelation 21:9–21,Psalm 40; Isaiah 28:14–end; Matthew 13:1–23
2024/12/06,"Friday, December 6, 2024",Week of 1st Sunday of Advent,,,,Psalm 25; Isaiah 44:9–23; Revelation 21:22–22:5,Psalm 17; Isaiah 29:1–14; Matthew 13:24–43
2024/12/07,"Saturday, December 7, 2024",Week of 1st Sunday of Advent,,,,Psalm 9; Isaiah 44:24–45:13; Revelation 22:6–end,Psalm 27; Isaiah 29:15–end; Matthew 13:44–end
2024/12/08,"Sunday, December 8, 2024",2nd Sunday of Advent,,Canticle: Luke 1:68-79 (Benedictus); Malachi 3:1-4; Philippians 1:3-11; Luke 3:1-6,,Psalm 80; Isaiah 64:1-7; Matthew 11:2-11,Psalm 75; Isaiah 40:1-11; Luke 1:1-25
2024/12/09,"Monday, December 9, 2024",Week of 2nd Sunday of Advent,,,,Psalm 44; Isaiah 45:14–end; 1 Thessalonians 1,Psalm 144; Isaiah 30:1–18; Matthew 14:1–12
2024/12/10,"Tuesday, December 10, 2024",Week of 2nd Sunday of Advent,,,,Psalm 56; Isaiah 46; 1 Thessalonians 2:1–12,Psalm 11; Isaiah 30:19–end; Matthew 14:13–end
2024/12/11,"Wednesday, December 11, 2024",Week of 2nd Sunday of Advent,,,,Psalm 62; Isaiah 47; 1 Thessalonians 2:13–end,Psalm 10; Isaiah 31; Matthew 15:1–20
2024/12/12,"Thursday, December 12, 2024",Week of 2nd Sunday of Advent,,,,Psalm 54; Isaiah 48:1–11; 1 Thessalonians 3,Psalm 73; Isaiah 32; Matthew 15:21–28
2024/12/13,"Friday, December 13, 2024",Week of 2nd Sunday of Advent,,,,Psalm 86; Isaiah 48:12–end; 1 Thessalonians 4:1–12,Psalm 90; Isaiah 33:1–22; Matthew 15:29–end
2024/12/14,"Saturday, December 14, 2024",Week of 2nd Sunday of Advent,,,,Psalm 145; Isaiah 49:1–13; 1 Thessalonians 4:13–end,Psalm 94; Isaiah 35; Matthew 16:1–12
2024/12/15,"Sunday, December 15, 2024",3rd Sunday of Advent,,Canticle: Isaiah 12:2-6*; Zephaniah 3:14-20; Philippians 4:4-7; Luke 3:7-18,,"Psalm 12,14; Isaiah 25:1-9; 1 Corinthians 4:1-5","Psalm 50:1-6; Isaiah 35; Luke 1:57-66,(67-80)"
2024/12/16,"Monday, December 16, 2024",Week of 3rd Sunday of Advent,,,,Psalm 40; Isaiah 49:14–25; 1 Thessalonians 5:1–11,"Psalm 26; Isaiah 38:1–8,38:21–22; Matthew 16:13–end"
2024/12/17,"Tuesday, December 17, 2024",Week of 3rd Sunday of Advent,,,,Psalm 70; Isaiah 50; 1 Thessalonians 5:12–end,Psalm 50; Isaiah 38:9–20; Matthew 17:1–13
2024/12/18,"Wednesday, December 18, 2024",Week of 3rd Sunday of Advent,,,,Psalm 75; Isaiah 51:1–8; 2 Thessalonians 1,Psalm 82; Isaiah 39; Matthew 17:14–21
2024/12/19,"Thursday, December 19, 2024",Week of 3rd Sunday of Advent,,,,Psalm 146; Isaiah 51:9–16; 2 Thessalonians 2,Psalm 57; Zephaniah 1:1–2:3; Matthew 17:22–end
2024/12/20,"Friday, December 20, 2024",Week of 3rd Sunday of Advent,,,,Psalm 46; Isaiah 51:17–end; 2 Thessalonians 3,Psalm 4; Zephaniah 3:1–13; Matthew 18:1–20
2024/12/21,"Saturday, December 21, 2024",Week of 3rd Sunday of Advent,,,,Psalm 121; Isaiah 52:1–12; Jude,Psalm 84; Zephaniah 3:14–end; Matthew 18:21–end
2024/12/22,"Sunday, December 22, 2024",4th Sunday of Advent,,"Psalm 80:1-8; Micah 5:2-5a; Hebrews 10:5-10; Luke 1:39-45,(46-55)",,Psalm 144; Isaiah 32:1-8; Revelation 22:6-21,Psalm 123; Isaiah 10:33-11:10; Matthew 1:18-25
2024/12/23,"Monday, December 23, 2024",Week of 4th Sunday of Advent,,,,Psalm 130; Isaiah 52:13–end; Isaiah 53; 2 Peter 1:1–15,"Psalm 89:1-37; Malachi 1:1,1:6–end; Matthew 19:1–12"
2024/12/24,"Tuesday, December 24, 2024",Christmas Eve,Christmas Eve,,,Psalm 45; Isaiah 54; 2 Peter 1:16–2:3,Psalm 85; Zechariah 2; Revelation 1:1-8
