Rule class order,Rule class name,RuleType,row (within class),feast / season type,evening name,day name,Is Seasonal Time,ByDayOfWeek-Weekday,ByDayOfMonth-Year,ByDayOfMonth-Month,ByDayOfMonth-Day,OT1,OT2a,OT2b,NT1,NT2,Morning OT,Morning NT,Evening OT,Evening NT,M Psalm main,M Psalm optional,M omitted if canticle,E Psalm main,E optional,E omitted if canticle
1,BaseAdvent.cs,ByDayOfWeek,0,Advent,,1st Sunday of Advent,TRUE,Su,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,1,Advent,,Week of 1st Sunday of Advent,TRUE,M,,,,Isaiah 25:1–9,Isaiah 42:18–end,N/A,Matthew 12:1–21,Revelation 19,,,,,50,54,,71,70,
1,BaseAdvent.cs,ByDayOfWeek,2,Advent,,Week of 1st Sunday of Advent,TRUE,T,,,,Isaiah 26:1–13,Isaiah 43:1–13,N/A,Matthew 12:22–37,Revelation 20,,,,,80,82,,74,75,
1,BaseAdvent.cs,ByDayOfWeek,3,Advent,,Week of 1st Sunday of Advent,TRUE,W,,,,Isaiah 28:1–13,Isaiah 43:14–end,N/A,Matthew 12:38–end,Revelation 21:1–8,,,,,7,5,,77,76,
1,BaseAdvent.cs,ByDayOfWeek,4,Advent,,Week of 1st Sunday of Advent,TRUE,Th,,,,Isaiah 28:14–end,Isaiah 44:1–8,N/A,Matthew 13:1–23,Revelation 21:9–21,,,,,42,43,,40,46,
1,BaseAdvent.cs,ByDayOfWeek,5,Advent,,Week of 1st Sunday of Advent,TRUE,F,,,,Isaiah 29:1–14,Isaiah 44:9–23,N/A,Matthew 13:24–43,Revelation 21:22–22:5,,,,,25,26,,17,16,
1,BaseAdvent.cs,ByDayOfWeek,6,Advent,,Week of 1st Sunday of Advent,TRUE,S,,,,Isaiah 29:15–end,Isaiah 44:24–45:13,N/A,Matthew 13:44–end,Revelation 22:6–end,,,,,9,,10,27,27,
1,BaseAdvent.cs,ByDayOfWeek,7,Advent,,2nd Sunday of Advent,TRUE,Su,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,8,Advent,,Week of 2nd Sunday of Advent,TRUE,M,,,,Isaiah 30:1–18,Isaiah 45:14–end,N/A,Matthew 14:1–12,1 Thessalonians 1,,,,,44,,,144,146,
1,BaseAdvent.cs,ByDayOfWeek,9,Advent,,Week of 2nd Sunday of Advent,TRUE,T,,,,Isaiah 30:19–end,Isaiah 46,N/A,Matthew 14:13–end,1 Thessalonians 2:1–12,,,,,56,57,,11,"12,13",
1,BaseAdvent.cs,ByDayOfWeek,10,Advent,,Week of 2nd Sunday of Advent,TRUE,W,,,,Isaiah 31,Isaiah 47,N/A,Matthew 15:1–20,1 Thessalonians 2:13–end,,,,,62,63,,10,14,
1,BaseAdvent.cs,ByDayOfWeek,11,Advent,,Week of 2nd Sunday of Advent,TRUE,Th,,,,Isaiah 32,Isaiah 48:1–11,N/A,Matthew 15:21–28,1 Thessalonians 3,,,,,54,"53, 60",,73,,
1,BaseAdvent.cs,ByDayOfWeek,12,Advent,,Week of 2nd Sunday of Advent,TRUE,F,,,,Isaiah 33:1–22,Isaiah 48:12–end,N/A,Matthew 15:29–end,1 Thessalonians 4:1–12,,,,,86,85,,90,82,
1,BaseAdvent.cs,ByDayOfWeek,13,Advent,,Week of 2nd Sunday of Advent,TRUE,S,,,,Isaiah 35,Isaiah 49:1–13,N/A,Matthew 16:1–12,1 Thessalonians 4:13–end,,,,,145,,,94,93,
1,BaseAdvent.cs,ByDayOfWeek,14,Advent,,3rd Sunday of Advent,TRUE,Su,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,15,Advent,,Week of 3rd Sunday of Advent,TRUE,M,,,,"Isaiah 38:1–8,38:21–22",Isaiah 49:14–25,N/A,Matthew 16:13–end,1 Thessalonians 5:1–11,,,,,40,,,26,25,
1,BaseAdvent.cs,ByDayOfWeek,16,Advent,,Week of 3rd Sunday of Advent,TRUE,T,,,,Isaiah 38:9–20,Isaiah 50,N/A,Matthew 17:1–13,1 Thessalonians 5:12–end,,,,,70,74,,50,54,
1,BaseAdvent.cs,ByDayOfWeek,17,Advent,,Week of 3rd Sunday of Advent,TRUE,W,,,,Isaiah 39,Isaiah 51:1–8,N/A,Matthew 17:14–21,2 Thessalonians 1,,,,,75,96,,82,25,
1,BaseAdvent.cs,ByDayOfWeek,18,Advent,,Week of 3rd Sunday of Advent,TRUE,Th,,,,Zephaniah 1:1–2:3,Isaiah 51:9–16,N/A,Matthew 17:22–end,2 Thessalonians 2,,,,,76,97,,44,,
1,BaseAdvent.cs,ByDayOfWeek,19,Advent,,Week of 3rd Sunday of Advent,TRUE,F,,,,Zephaniah 3:1–13,Isaiah 51:17–end,N/A,Matthew 18:1–20,2 Thessalonians 3,,,,,98,77,,49,,
1,BaseAdvent.cs,ByDayOfWeek,20,Advent,,Week of 3rd Sunday of Advent,TRUE,S,,,,Zephaniah 3:14–end,Isaiah 52:1–12,N/A,Matthew 18:21–end,Jude,,,,,71,,,43,42,
1,BaseAdvent.cs,ByDayOfWeek,21,Advent,,4th Sunday of Advent,TRUE,Su,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,22,Advent,,Week of 4th Sunday of Advent,TRUE,M,,,,"Malachi 1:1,1:6–end",Isaiah 52:13–end; Isaiah 53,N/A,Matthew 19:1–12,2 Peter 1:1–15,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,23,Advent,,Week of 4th Sunday of Advent,TRUE,T,,,,Malachi 2:1–16,Isaiah 54,N/A,Matthew 19:13–15,2 Peter 1:16–2:3,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,24,Advent,,Week of 4th Sunday of Advent,TRUE,W,,,,Malachi 2:17–3:12,Isaiah 55,N/A,Matthew 19:16–end,2 Peter 2:4–end,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,25,Advent,,Week of 4th Sunday of Advent,TRUE,Th,,,,Malachi 3:13–end; Malachi 4,Isaiah 56:1–8,N/A,Matthew 23:1–12,2 Peter 3,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,26,Advent,,Week of 4th Sunday of Advent,TRUE,F,,,,Nahum 1,Isaiah 63:1–6,N/A,Matthew 23:13–28,2 John,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,27,Advent,,Week of 4th Sunday of Advent,TRUE,S,,,,Obadiah,Isaiah 58,N/A,Matthew 23:29–end,3 John,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,28,,,1st Sunday of Christmas,TRUE,Su,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,29,,,Week of 1st Sunday of Christmas,TRUE,M,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,30,,,Week of 1st Sunday of Christmas,TRUE,T,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,31,,,Week of 1st Sunday of Christmas,TRUE,W,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,32,,,Week of 1st Sunday of Christmas,TRUE,Th,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,33,,,Week of 1st Sunday of Christmas,TRUE,F,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,34,,,Week of 1st Sunday of Christmas,TRUE,S,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,35,,,2nd Sunday of Christmas,TRUE,Su,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,36,,,Week of 2nd Sunday of Christmas,TRUE,M,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,37,,,Week of 2nd Sunday of Christmas,TRUE,T,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,38,,,Week of 2nd Sunday of Christmas,TRUE,W,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,39,,,Week of 2nd Sunday of Christmas,TRUE,Th,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,40,,,Week of 2nd Sunday of Christmas,TRUE,F,,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,41,,,Week of 2nd Sunday of Christmas,TRUE,S,,,,,,,,,,,,,,,,,,
2,SpecificDaysInAdventAndEpiphany.cs,ByDayOfMonth,1,,,,TRUE,,,12,19,,,,,,,,,,146,144,,57,10,
2,SpecificDaysInAdventAndEpiphany.cs,ByDayOfMonth,2,,,,TRUE,,,12,20,,,,,,,,,,46,95,,4,9,
