Rule class order,Rule set name,RuleType,row (within class),extra data,feast / season type,evening name,day name,Is Seasonal Time,ByDayOfWeek-RclYear,ByDayOfWeek-Weekday,ByDayOfMonth-Year,ByDayOfMonth-Month,ByDayOfMonth-Day,OT1,OT2a,OT2b,NT1,NT2,Morning apoc.,Morning OT,Morning OT alt,Morning NT,Morning NT alt,Evening apoc.,Evening OT,Evening OT alt,Evening NT,Evening NT alt.,Evening gospel for communion,M Psalm main,M Psalm optional,M Psalm alt.,M omitted if canticle,E Psalm main,E Psalm optional,E Psalm alt.,E omitted if canticle,RclTrack1-NameOverride,RclTrack1-FullNameOverride,RclTrack1-Note,RclTrack1-Other,RclTrack1-Apoc,RclTrack1-OT,RclTrack1-OT-alt,RclTrack1-Psalm,RclTrack1-Psalm-alt,RclTrack1-Canticle,RclTrack1-ApocCanticle,RclTrack1-NT,RclTrack1-NT-alt,RclTrack1-Gospel,RclTrack1-Gospel-alt,RclTrack2-NameOverride,RclTrack2-FullNameOverride,RclTrack2-Note,RclTrack2-Other,RclTrack2-Apoc,RclTrack2-OT,RclTrack2-OT-alt,RclTrack2-Psalm,RclTrack2-Psalm-alt,RclTrack2-Canticle,RclTrack2-Apoc-Canticle,RclTrack2-NT,RclTrack2-NT-alt,RclTrack2-Gospel,RclTrack2-Gospel-alt,RclTrack3-NameOverride,RclTrack3-FullNameOverride,RclTrack3-Note,RclTrack3-Other,RclTrack3-Apoc,RclTrack3-OT,RclTrack3-OT-alt,RclTrack3-Psalm,RclTrack3-Psalm-alt,RclTrack3-Canticle,RclTrack3-Apoc-Canticle,RclTrack3-NT,RclTrack3-NT-alt,RclTrack3-Gospel,RclTrack2-Gospel-alt
1,BaseAdvent,ByDayOfWeek,1,,Advent,,1st Sunday of Advent,TRUE,A,Su,,,,,,,,,,Micah 4:1-7,,1 Thessalonians 5:1-11,,,Isaiah 52:1-12,,Matthew 24:15-28,,,44,,,,9*,,,,,,,,,Isaiah 2:1-5,,122,,,,Romans 13:11-14,,Matthew 24:36-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,2,,Advent,,1st Sunday of Advent,TRUE,B,Su,,,,,,,,,,Isaiah 2:1-5,,Luke 12:35-48,,,Isaiah 1:1-20,,Matthew 21:1-13,,,44,,,,25*,,,,,,,,,Isaiah 64:1-9,,"80:1-8,18-20*",,,,1 Corinthians 1:3-9,,Mark 13:24-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,3,,Advent,,1st Sunday of Advent,TRUE,C,Su,,,,,,,,,,Isaiah 51:4-11,,Romans 13:11-14,,,Joel 3:9-21,,Revelation 14:13-15:4,,John 3:1-17,44,,,,9*,,,,,,,,,Jeremiah 33:14-16,,25:1-9,,,,1 Thessalonians 3:9-13,,Luke 21:25-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,4,,Advent,,Week of 1st Sunday of Advent,TRUE,,M,,,,Isaiah 25:1–9,Isaiah 42:18–end,N/A,Matthew 12:1–21,Revelation 19,,,,,,,,,,,,50,54,,,71,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,5,,Advent,,Week of 1st Sunday of Advent,TRUE,,T,,,,Isaiah 26:1–13,Isaiah 43:1–13,N/A,Matthew 12:22–37,Revelation 20,,,,,,,,,,,,80,82,,,74,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,6,,Advent,,Week of 1st Sunday of Advent,TRUE,,W,,,,Isaiah 28:1–13,Isaiah 43:14–end,N/A,Matthew 12:38–end,Revelation 21:1–8,,,,,,,,,,,,7,5,,,77,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,7,,Advent,,Week of 1st Sunday of Advent,TRUE,,Th,,,,Isaiah 28:14–end,Isaiah 44:1–8,N/A,Matthew 13:1–23,Revelation 21:9–21,,,,,,,,,,,,42,43,,,40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,8,,Advent,,Week of 1st Sunday of Advent,TRUE,,F,,,,Isaiah 29:1–14,Isaiah 44:9–23,N/A,Matthew 13:24–43,Revelation 21:22–22:5,,,,,,,,,,,,25,26,,,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,9,,Advent,,Week of 1st Sunday of Advent,TRUE,,S,,,,Isaiah 29:15–end,Isaiah 44:24–45:13,N/A,Matthew 13:44–end,Revelation 22:6–end,,,,,,,,,,,,9,,,10,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,10,,Advent,,2nd Sunday of Advent,TRUE,A,Su,,,,,,,,,,Amos 7,,Luke 1:5-20,,,1 Kings 18:17-39,,John 1:19-28,,,80,,,,11,28,,,,,,,,Isaiah 11:1-10,,"72:1-7,18,19*",,,,Romans 15:4-13,,Matthew 3:1-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,11,,Advent,,2nd Sunday of Advent,TRUE,B,Su,,,,,,,,,Baruch 5:1-9,Zephaniah 3:14-20,,Luke 1:5-20,,,1 Kings 22:1-28,,Romans 15:4-13,,Matthew 11:2-11,80,,,,40*,,,,,,,,,Isaiah 40:1-11,,"85:1-2,8-13*",,,,2 Peter 3:8-15a,,Mark 1:1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,12,,Advent,,2nd Sunday of Advent,TRUE,C,Su,,,,,,,,,,Isaiah 64:1-7,,Matthew 11:2-11,,,Isaiah 40:1-11,,Luke 1:1-25,,,80,,,,75,76,,,,,,,Baruch 5:1-9,Malachi 3:1-4,,,,Canticle: Luke 1:68-79 (Benedictus),,Philippians 1:3-11,,Luke 3:1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,13,,Advent,,Week of 2nd Sunday of Advent,TRUE,,M,,,,Isaiah 30:1–18,Isaiah 45:14–end,N/A,Matthew 14:1–12,1 Thessalonians 1,,,,,,,,,,,,44,,,,144,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,14,,Advent,,Week of 2nd Sunday of Advent,TRUE,,T,,,,Isaiah 30:19–end,Isaiah 46,N/A,Matthew 14:13–end,1 Thessalonians 2:1–12,,,,,,,,,,,,56,57,,,11,"12,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,15,,Advent,,Week of 2nd Sunday of Advent,TRUE,,W,,,,Isaiah 31,Isaiah 47,N/A,Matthew 15:1–20,1 Thessalonians 2:13–end,,,,,,,,,,,,62,63,,,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,16,,Advent,,Week of 2nd Sunday of Advent,TRUE,,Th,,,,Isaiah 32,Isaiah 48:1–11,N/A,Matthew 15:21–28,1 Thessalonians 3,,,,,,,,,,,,54,"53,60",,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,17,,Advent,,Week of 2nd Sunday of Advent,TRUE,,F,,,,Isaiah 33:1–22,Isaiah 48:12–end,N/A,Matthew 15:29–end,1 Thessalonians 4:1–12,,,,,,,,,,,,86,85,,,90,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,18,,Advent,,Week of 2nd Sunday of Advent,TRUE,,S,,,,Isaiah 35,Isaiah 49:1–13,N/A,Matthew 16:1–12,1 Thessalonians 4:13–end,,,,,,,,,,,,145,,,,94,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,19,,Advent,,3rd Sunday of Advent,TRUE,A,Su,,,,,,,,,,Zephaniah 3:14-20,,Philippians 4:4-7,,,Isaiah 5:8-30,,Acts 13:13-41,,John 5:31-40,68:1-19,,,,12,14,,,,,,,,Isaiah 35:1-10,,146:4-10,,Canticle: Luke 1:46-55 (Magnificat),,James 5:7-10,,Matthew 11:2-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,20,,Advent,,3rd Sunday of Advent,TRUE,B,Su,,,,,,,,,,Isaiah 12,,Luke 1:57-66,,,"Malachi 3:1-4,4:1-end",,Philippians 4:4-7,,Matthew 14:1-12,"50:1-6,62",,,,68:1-19*,,,,,,,,,"Isaiah 61:1-4,8-11",,126,,Canticle: Luke 1:46-55 (Magnificat),,1 Thessalonians 5:16-24,,"John 1:6-8,19-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,21,,Advent,,3rd Sunday of Advent,TRUE,C,Su,,,,,,,,,,Isaiah 25:1-9,,1 Corinthians 4:1-5,,,Isaiah 35,,"Luke 1:57-66,(67-80)",,,"12,14",,,,50:1-6,62,,,,,,,,Zephaniah 3:14-20,,,,Canticle: Isaiah 12:2-6*,,Philippians 4:4-7,,Luke 3:7-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,22,,Advent,,Week of 3rd Sunday of Advent,TRUE,,M,,,,"Isaiah 38:1–8,38:21–22",Isaiah 49:14–25,N/A,Matthew 16:13–end,1 Thessalonians 5:1–11,,,,,,,,,,,,40,,,,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,23,,Advent,,Week of 3rd Sunday of Advent,TRUE,,T,,,,Isaiah 38:9–20,Isaiah 50,N/A,Matthew 17:1–13,1 Thessalonians 5:12–end,,,,,,,,,,,,70,74,,,50,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,24,,Advent,,Week of 3rd Sunday of Advent,TRUE,,W,,,,Isaiah 39,Isaiah 51:1–8,N/A,Matthew 17:14–21,2 Thessalonians 1,,,,,,,,,,,,75,96,,,82,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,25,,Advent,,Week of 3rd Sunday of Advent,TRUE,,Th,,,,Zephaniah 1:1–2:3,Isaiah 51:9–16,N/A,Matthew 17:22–end,2 Thessalonians 2,,,,,,,,,,,,76,97,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,26,,Advent,,Week of 3rd Sunday of Advent,TRUE,,F,,,,Zephaniah 3:1–13,Isaiah 51:17–end,N/A,Matthew 18:1–20,2 Thessalonians 3,,,,,,,,,,,,98,77,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,27,,Advent,,Week of 3rd Sunday of Advent,TRUE,,S,,,,Zephaniah 3:14–end,Isaiah 52:1–12,N/A,Matthew 18:21–end,Jude,,,,,,,,,,,,71,,,,43,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,28,,Advent,,4th Sunday of Advent,TRUE,A,Su,,,,,,,,,,Micah 5:2-5a,,Luke 1:26-38,,,1 Samuel 1:1-20,,Revelation 22:6-21,,Luke 1:39-45,144,,,,113,126,,,,,,,,Isaiah 7:10-16,,"80:1-8,18-20*",,,,Romans 1:1-7,,Matthew 1:18-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,29,,Advent,,4th Sunday of Advent,TRUE,B,Su,,,,,,,,,,Isaiah 7:10-16,,Romans 1:1-7,,,Zechariah 2:10-13,,Luke 1:39-55,,,144,,,,113,131,,,,,,,,"2 Samuel 7:1-11,16",,"89:1-4,19-26*",,Canticle: Luke 1:46-55 (Magnificat),,Romans 16:25-27,,Luke 1:26-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,30,,Advent,,4th Sunday of Advent,TRUE,C,Su,,,,,,,,,,Isaiah 32:1-8,,Revelation 22:6-21,,,Isaiah 10:33-11:10,,Matthew 1:18-25,,,144,,,,123,131,,,,,,,,Micah 5:2-5a,,80:1-8,,Canticle: Luke 1:46-55 (Magnificat),,Hebrews 10:5-10,,"Luke 1:39-45,(46-55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,31,,Advent,,Week of 4th Sunday of Advent,TRUE,,M,,,,"Malachi 1:1,1:6–end",Isaiah 52:13–end; Isaiah 53,N/A,Matthew 19:1–12,2 Peter 1:1–15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BaseAdvent,ByDayOfWeek,32,,Advent,,Week of 4th Sunday of Advent,TRUE,,T,,,,Malachi 2:1–16,Isaiah 54,N/A,Matthew 19:13–15,2 Peter 1:16–2:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
