Rule class order,Rule class name,RuleType,row (within class),day name,Is Seasonal Time,ByDayOfWeek-Weekday,ByDayOfMonth-Month,ByDayOfMonth-Day,OT1,OT2a,OT2b,NT1,NT2,Morning OT,Morning NT,Evening OT,Evening NT,M Psalm main,M Psalm optional,M omitted if canticle,E Psalm main,E optional,E omitted if canticle
1,BaseAdvent.cs,ByDayOfWeek,0,1st Sunday of Advent,TRUE,Su,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,1,Week of 1st Sunday of Advent,TRUE,M,,,Isaiah 25:1–9,Isaiah 42:18–end,N/A,Matthew 12:1–21,Revelation 19,,,,,50,54,,71,70,
1,BaseAdvent.cs,ByDayOfWeek,2,Week of 1st Sunday of Advent,TRUE,T,,,Isaiah 26:1–13,Isaiah 43:1–13,N/A,Matthew 12:22–37,Revelation 20,,,,,80,82,,74,75,
1,BaseAdvent.cs,ByDayOfWeek,3,Week of 1st Sunday of Advent,TRUE,W,,,Isaiah 28:1–13,Isaiah 43:14–end,N/A,Matthew 12:38–end,Revelation 21:1–8,,,,,7,5,,77,76,
1,BaseAdvent.cs,ByDayOfWeek,4,Week of 1st Sunday of Advent,TRUE,Th,,,Isaiah 28:14–end,Isaiah 44:1–8,N/A,Matthew 13:1–23,Revelation 21:9–21,,,,,42,43,,40,46,
1,BaseAdvent.cs,ByDayOfWeek,5,Week of 1st Sunday of Advent,TRUE,F,,,Isaiah 29:1–14,Isaiah 44:9–23,N/A,Matthew 13:24–43,Revelation 21:22–22:5,,,,,25,26,,17,16,
1,BaseAdvent.cs,ByDayOfWeek,6,Week of 1st Sunday of Advent,TRUE,S,,,Isaiah 29:15–end,Isaiah 44:24–45:13,N/A,Matthew 13:44–end,Revelation 22:6–end,,,,,9,,10,27,27,
1,BaseAdvent.cs,ByDayOfWeek,7,2nd Sunday of Advent,TRUE,Su,,,,,,,,,,,,,,,,,
1,BaseAdvent.cs,ByDayOfWeek,8,Week of 2nd Sunday of Advent,TRUE,M,,,Isaiah 30:1–18,Isaiah 45:14–end,N/A,Matthew 14:1–12,1 Thessalonians 1,,,,,44,,,144,146,
1,BaseAdvent.cs,ByDayOfWeek,9,Week of 2nd Sunday of Advent,TRUE,T,,,Isaiah 30:19–end,Isaiah 46,N/A,Matthew 14:13–end,1 Thessalonians 2:1–12,,,,,56,57,,11,"12,13",
1,BaseAdvent.cs,ByDayOfWeek,10,Week of 2nd Sunday of Advent,TRUE,W,,,Isaiah 31,Isaiah 47,N/A,Matthew 15:1–20,1 Thessalonians 2:13–end,,,,,62,63,,10,14,
1,BaseAdvent.cs,ByDayOfWeek,11,Week of 2nd Sunday of Advent,TRUE,Th,,,Isaiah 32,Isaiah 48:1–11,N/A,Matthew 15:21–28,1 Thessalonians 3,,,,,54,"53, 60",,73,,
